FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
ES050A,499,Sa_DigMSB.c,DigMSB_Per2,1143-1175,I,""
ES050A,495,Sa_DigMSB.c,DigMSB_Per2,1143-1175,I,""
ES050A,491,Sa_DigMSB.c,DigMSB_Per2,1143-1175,I,""
ES050A,493,Sa_DigMSB.c,DigMSB_Per2,1143-1175,I,""
ES050A,542,Sa_DigMSB.c,DigMSB_Per3,1425-1455,I,"According to FDD faults are determined in 2ms loop; but the reset is done in 100ms loop"
ES050A,543,Sa_DigMSB.c,DigMSB_Per1,"1507-1510,1527,1587,1598-1605",I,""
ES050A,540,Sa_DigMSB.c,DigMSB_Per2,1327-1350,I,""
ES050A,541,Sa_DigMSB.c,DigMSB_Per2,1300-1324,I,""
ES050A,547,Sa_DigMSB.c,DigMSB_Init,712-722,I,""
ES050A,400,Sa_DigMSB.c,DigMSB_Per2,964-988,I,""
ES050A,549,Sa_DigMSB.c,DigMSB_Init,713,I,""
ES050A,439,Sa_DigMSB.c,"N/A,DigMSB_Per1","145,1583,1588",I,""
ES050A,424,Sa_DigMSB.c,DigMSB_Per2,1012,I,""
ES050A,537,Sa_DigMSB.c,DigMSB_Per1,"1502,1593",I,""
ES050A,536,Sa_DigMSB.c,DigMSB_Per2,"1198,1199",I,""
ES050A,535,Sa_DigMSB.c,DigMSB_Per2,1186,I,""
ES050A,534,Sa_DigMSB.c,DigMSB_Per1,"1564,1591",I,""
ES050A,533,Sa_DigMSB.c,DigMSB_Per1,1529-1560,I,""
ES050A,539,Sa_DigMSB.c,DigMSB_Per2,"1354,1359",I,""
ES050A,538,Sa_DigMSB.c,DigMSB_Per1,"1502,1594",I,""
ES050A,591,Sa_DigMSB.c,DigMSB_Per2,1188-1193,I,""
ES050A,590,Sa_DigMSB.c,DigMSB_Per1,1555-1560,I,""
ES050A,595,Sa_DigMSB.c,DigMSB_Per2,1368,N,"This service is implemented inside the CMS (Common Manufacturing Service) component"
ES050A,594,Sa_DigMSB.c,"DigMSB_Init,DigMSB_Per2,DigMSB_Per1","707,709,1180,1195,1547,1565",I,"Actual function is implemented inside the CMS (Common Manufacturing Service) component,Actual function is implemented inside the CMS (Common Manufacturing Service) component,Actual function is implemented inside the CMS (Common Manufacturing Service) component,Actual function is implemented inside the CMS (Common Manufacturing Service) component,Actual function is implemented inside the CMS (Common Manufacturing Service) component,Actual function is implemented inside the CMS (Common Manufacturing Service) component"
ES050A,597,Sa_DigMSB.c,DigMSB_Per1,"1507-1510,1527",I,""
ES050A,596,Sa_DigMSB.c,"DigMSB_Init,DigMSB_Per2,DigMSB_Per1","707,709,1180,1195,1547,1564",I,""
ES050A,416,Sa_DigMSB.c,"DigMSB_Init,DigMSB_Per3,DigMSB_Per1","734,735,737,738,1453,1454,1508,1509,1514,1515",I,"The actual function is implemented in SpiNxt component,The actual function is implemented in SpiNxt component,The actual function is implemented in SpiNxt component,The actual function is implemented in SpiNxt component,The actual function is implemented in SpiNxt component,The actual function is implemented in SpiNxt component,The actual function is implemented in SpiNxt component,The actual function is implemented in SpiNxt component,The actual function is implemented in SpiNxt component,The actual function is implemented in SpiNxt component"
ES050A,428,Sa_DigMSB.c,DigMSB_Per2,"904-912,964-976",I,""
ES050A,526,Sa_DigMSB.c,"DigMSB_Per2,DigMSB_Per1","1025,1527",I,""
ES050A,422,Sa_DigMSB.c,DigMSB_Per2,1237-1297,I,""
ES050A,529,Sa_DigMSB.c,DigMSB_Per2,1011,I,""
ES050A,587,Sa_DigMSB.c,DigMSB_Per2,1108,I,""
ES050A,584,Sa_DigMSB.c,DigMSB_Per2,1025-1099,I,""
ES050A,585,Sa_DigMSB.c,DigMSB_Per2,1025-1099,I,""
ES050A,582,Sa_DigMSB.c,DigMSB_Per2,1025-1112,I,""
ES050A,580,Sa_DigMSB.c,DigMSB_Per2,1088-1112,I,""
ES050A,588,Sa_DigMSB.c,DigMSB_Per2,"933-953,964-976",I,""
ES050A,589,Sa_DigMSB.c,DigMSB_Per2,1025-1112,I,""
ES050A,389,Sa_DigMSB.c,DigMSB_Per2,904-953,I,""
ES050A,641,Sa_DigMSB.c,DigMSB_Per2,"1354,1359",I,""
ES050A,640,Sa_DigMSB.c,DigMSB_Per2,"1353,1360",I,""
ES050A,643,Sa_DigMSB.c,DigMSB_Per2,"1178-1193,1361",I,""
ES050A,642,Sa_DigMSB.c,DigMSB_Per1,1594,I,""
ES050A,645,Sa_DigMSB.c,DigMSB_Per1,"1564,1591",I,""
ES050A,644,Sa_DigMSB.c,DigMSB_Per1,1592,I,""
ES050A,647,Sa_DigMSB.c,DigMSB_Per1,1590,I,""
