Sw_ReqId,Verfication File Name,Verification File Version,PIL Test case #,PIL Test Vector #,PIL  Test Status,PIL Comments
.SwReqId, .PILSpecName, .PILSpecVer, .PILTestCase, .PILTestVector, .PILTestStatus, .PILComments
ES050A_499,DigMSB_PIL.pdbx,2,TC_ES050A_499_P_1,TV_499_P_TC1_1 ,PASS,1 out of 1 Passed
ES050A_495,DigMSB_PIL.pdbx,2,TC_ES050A_495_P_1,TV_495_P_TC1_3,PASS,1 out of 1 Passed
ES050A_491,DigMSB_PIL.pdbx,2,TC_ES050A_491_P_1,TV_491_P_TC1_2,PASS,1 out of 1 Passed
ES050A_493,DigMSB_PIL.pdbx,2,TC_ES050A_493_P_1,TV_493_P_TC1_5,PASS,1 out of 1 Passed
ES050A_542,DigMSB_PIL.pdbx,2,"TC_ES050A_542_P_1,
TC_ES050A_542_P_2, 
TC_ES050A_542_P_3 ","TV_542_P_TC1_1,
TV_542_P_TC1_2,
TV_542_P_TC1_3",PASS,3 out of 3 Passed
ES050A_543,DigMSB_PIL.pdbx,2,TC_ES050A_543_B_1,TV_543_B_TC1_3 - TV_543_B_TC1_8,PASS,6 out of 6 Passed
ES050A_540,DigMSB_PIL.pdbx,2,TC_ES050A_540_P_1,"TV_540_P_TC1_35, TV_540_P_TC1_36,
TV_540_P_TC1_37",PASS,3 out of 3 Passed
ES050A_541,DigMSB_PIL.pdbx,2,TC_ES050A_541_P_1,"TV_541_P_TC1_6, TV_541_P_TC1_28,
TV_541_P_TC1_30",PASS,3 out of 3 Passed
ES050A_547,DigMSB_PIL.pdbx,2,TC_ES050A_547_P_1,"TV_541_P_TC1_1, TV_547_P_TC1_2",PASS,2 out of 2  Passed
ES050A_400,DigMSB_PIL.pdbx,2,TC_ES050A_400_P_1,"TV_541_P_TC1_19, TV_541_P_TC1_24,
TV_541_P_TC1_37",PASS,3 out of 3 Passed
ES050A_549,DigMSB_PIL.pdbx,2,TC_ES050A_547_M_1,"TV_541_M_TC1_1, TV_547_M_TC1_2",PASS,2 out of 2  Passed
ES050A_439,DigMSB_PIL.pdbx,2,TC_ES050A_439_B_1,"TV_439_B_TC1_14 - TV_439_B_TC1_20,
TV_439_B_TC1_30 - TV_439_B_TC1_32",PASS,10 out of 10 Passed
ES050A_424,DigMSB_PIL.pdbx,2,"TC_ES050A_424_B_1, 
TC_ES050A_424_B_2, 
TC_ES050A_424_B_3","TV_424_B_TC1_29 - TV_424_B_TC1_30,
TV_424_B_TC2_75 - TV_424_B_TC2_79,
TV_424_B_TC3_31 - TV_424_B_TC3_32",PASS,2 out of 2 Passed
ES050A_537,DigMSB_PIL.pdbx,2,TC_ES050A_537_B_1,"TV_537_B_TC1_35, TV_537_B_TC1_36,
TV_537_B_TC1_37",PASS,3 out of 3 Passed
ES050A_536,DigMSB_PIL.pdbx,2,TC_ES050A_536_B_1,"TV_536_B_TC1_1, TV_536_B_TC1_2",PASS,2 out of 2  Passed
ES050A_535,DigMSB_PIL.pdbx,2,TC_ES050A_535_B_1,"TV_536_B_TC1_3, TV_536_B_TC1_4",PASS,2 out of 2  Passed
ES050A_534,DigMSB_PIL.pdbx,2,TC_ES050A_534_B_1,"TV_534_B_TC1_14 - TV_534_B_TC1_20,
TV_534_B_TC1_30 - TV_534_B_TC1_32",PASS,10 out of 10 Passed
ES050A_533,DigMSB_PIL.pdbx,2,"TC_ES050A_533_P_1, 
TC_ES050A_533_P_2","TV_533_P_TC1_1, TV_533_P_TC1_2,
TV_533_P_TC2_3, TV_533_P_TC2_4",PASS,4 out of 4 Passed
ES050A_539,DigMSB_PIL.pdbx,2,TC_ES050A_539_B_1 ,TV_539_B_TC1_21 - TV_539_B_TC1_25,PASS,5 out of 5 Passed
ES050A_538,DigMSB_PIL.pdbx,2,TC_ES050A_538_B_1,TV_538_B_TC1_35 - TV_538_B_TC1_37,PASS,5 out of 5 Passed
ES050A_591,DigMSB_PIL.pdbx,2,TC_ES050A_591_P_1,"
TV_591_P_TC1_1, TV_591_P_TC1_1",PASS,2 out of 2 Passed
ES050A_590,DigMSB_PIL.pdbx,2,TC_ES050A_590_P_1,"TV_590_P_TC1_3, TV_590_P_TC1_4",PASS,2 out of 2 Passed
ES050A_595,DigMSB_PIL.pdbx,2,TC_ES050A_590_P_1,"TV_590_P_TC1_3, TV_590_P_TC1_4",PASS,2 out of 2 Passed
ES050A_594,DigMSB_PIL.pdbx,2,TC_ES050A_594_B_1,"TV_594_B_TC1_3 - TV_594_B_TC1_8,TV_594_B_TC1_17 - TV_594_B_TC1_24,TV_594_B_TC1_132 - TV_594_B_TC1_139",PASS,16 out of 16 Passed
ES050A_597,DigMSB_PIL.pdbx,2,TC_ES050A_597_B_1,TV_597_B_TC1_3 - TV_597_B_TC1_8,PASS,6 out of 6 Passed
ES050A_596,DigMSB_PIL.pdbx,2,TC_ES050A_596_B_1,"TV_594_B_TC1_3 - TV_594_B_TC1_8,TV_594_B_TC1_17 - TV_594_B_TC1_24,TV_594_B_TC1_132 - TV_594_B_TC1_139",PASS,16 out of 16 Passed
ES050A_416,DigMSB_PIL.pdbx,2,"TC_ES050A_416_B_1, 
TC_ES050A_416_M_1,
TC_ES050A_416_B_2","TV_416_B_TC1_9 - TV_416_B_TC1_11,TV_416_B_TC1_1 - TV_416_B_TC1_2,TV_416_B_TC1_1 - TV_416_B_TC1_20",PASS,28 out of 28 Passed
ES050A_428,DigMSB_PIL.pdbx,2,TC_ES050A_428_P_1,"TV_428_P_TC1_10, TV_428_P_TC1_11",PASS,2 out of 2 Passed
ES050A_526,DigMSB_PIL.pdbx,2,"TC_ES050A_526_B_1,
TC_ES050A_526_B_2","TV_526_B_TC1_1 - TV_526_B_TC1_34,TV_526_B_TC2_12 - TV_526_B_TC2_14",PASS,37 out of 37 Passed
ES050A_422,DigMSB_PIL.pdbx,2,TC_ES050A_422_P_1 ,"TV_422_P_TC1_12, TV_422_P_TC1_20",PASS,9 out of 9 Passed
ES050A_529,DigMSB_PIL.pdbx,2,"TC_ES050A_529_B_1, 
TC_ES050A_529_B_2","TV_529_B_TC1_75 - TV_529_B_TC1_79,TV_529_B_TC2_31 - TV_529_B_TC2_32",PASS,7 out of 7 Passed
ES050A_587,DigMSB_PIL.pdbx,2,TC_ES050A_587_P_1 ,TV_587_P_TC1_9,PASS,1 out of 1 Passed
ES050A_584,DigMSB_PIL.pdbx,2,TC_ES050A_584_P_1 ,TV_584_P_TC1_25 - TV_584_P_TC1_27,PASS,3 out of 3 Passed
ES050A_585,DigMSB_PIL.pdbx,2,TC_ES050A_585_P_1,TV_585_P_TC1_28 - TV_585_P_TC1_30,PASS,3 out of 3 Passed
ES050A_657,DigMSB_PIL.pdbx,2,TC_ES050A_585_P_1,TV_585_P_TC1_28 - TV_585_P_TC1_30,PASS,3 out of 3 Passed
ES050A_582,DigMSB_PIL.pdbx,2,TC_ES050A_582_P_1 ,TV_582_P_TC1_31 - TV_582_P_TC1_32,PASS,3 out of 3 Passed
ES050A_580,DigMSB_PIL.pdbx,2,TC_ES050A_580_P_1 ,TV_580_P_TC1_12 - TV_580_P_TC1_14,PASS,3 out of 3 Passed
ES050A_588,DigMSB_PIL.pdbx,2,TC_ES050A_588_P_1 ,TV_588_P_TC1_12 - TV_588_P_TC1_14,PASS,3 out of 3 Passed
ES050A_654,DigMSB_PIL.pdbx,2,TC_ES050A_588_P_1 ,TV_588_P_TC1_12 - TV_588_P_TC1_14,PASS,3 out of 3 Passed
