FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
CF14,11,Ap_PSATA.c,PSATA_Per1,619,I,
CF14,10,Ap_PSATA.c,PSATA_Per1,620,I,
CF14,13,Ap_PSATA.c,PSATA_Per1,621,I,
CF14,12,Ap_PSATA.c,PSATA_Per1,618,I,
CF14,15,Ap_PSATA.c,PSATA_Per1,681,I,
CF14,16,Ap_PSATA.c,PSATA_Per1,680,I,
CF14,33,Ap_PSATA.c,Cal_PosServoSmoothingFactor,826-836,I,
CF14,28,Ap_PSATA.c,PSATA_Per1,663-673,I,
CF14,31,Ap_PSATA.c,PSATA_Per1,626-631,I,
CF14,37,Ap_PSATA.c,PSATA_Per1,627-660,I,
CF14,29,Ap_PSATA.c,PSATA_Per1,664-674,I,
CF14,35,Ap_PSATA.c,Cal_PosServoSmoothingFactor,"814,823",I,
CF14,34,Ap_PSATA.c,Cal_PosServoSmoothingFactor,840,I,
CF14,27,Ap_PSATA.c,Cal_PosSrvoNTC,761-773,I,
CF14,38,Ap_PSATA.c,PSATA_Per1,628-661,I,
CF14,26,Ap_PSATA.c,Cal_PosSrvoNTC,730-749,I,
CF14,25,Ap_PSATA.c,Cal_PosSrvoNTC,719-728,I,
CF14,24,Ap_PSATA.c,Cal_PosSrvoNTC,779,I,
CF14,32,Ap_PSATA.c,PSATA_Per1,618,I,
